cust_id,lookalikes
C0001,"[('C0091', 0.999), ('C0190', 0.9971), ('C0048', 0.9947)]"
C0002,"[('C0088', 0.9793), ('C0134', 0.9644), ('C0106', 0.9514)]"
C0003,"[('C0031', 0.9906), ('C0052', 0.9861), ('C0076', 0.9824)]"
C0004,"[('C0155', 0.9866), ('C0087', 0.9546), ('C0153', 0.9348)]"
C0005,"[('C0186', 0.9985), ('C0007', 0.9934), ('C0140', 0.9873)]"
C0006,"[('C0168', 0.9794), ('C0187', 0.9682), ('C0011', 0.9639)]"
C0007,"[('C0005', 0.9934), ('C0115', 0.9924), ('C0186', 0.9856)]"
C0008,"[('C0065', 0.9089), ('C0059', 0.8877), ('C0160', 0.7575)]"
C0009,"[('C0198', 0.9908), ('C0010', 0.9816), ('C0062', 0.9815)]"
C0010,"[('C0111', 0.986), ('C0061', 0.9845), ('C0009', 0.9816)]"
C0011,"[('C0137', 0.9939), ('C0191', 0.9795), ('C0174', 0.9733)]"
C0012,"[('C0113', 0.9842), ('C0163', 0.9823), ('C0195', 0.975)]"
C0013,"[('C0099', 0.9888), ('C0108', 0.9811), ('C0107', 0.8596)]"
C0014,"[('C0060', 0.9996), ('C0089', 0.9441), ('C0166', 0.8843)]"
C0015,"[('C0036', 0.9827), ('C0131', 0.9811), ('C0094', 0.9466)]"
C0016,"[('C0183', 1.0), ('C0067', 0.9858), ('C0034', 0.9749)]"
C0017,"[('C0075', 0.9794), ('C0041', 0.9464), ('C0057', 0.9392)]"
C0018,"[('C0117', 0.9632), ('C0122', 0.9288), ('C0046', 0.9228)]"
C0019,"[('C0081', 0.9468), ('C0121', 0.8927), ('C0070', 0.886)]"
C0020,"[('C0050', 0.9167), ('C0035', 0.8926), ('C0157', 0.8441)]"
